longitude,latitude,temperature
-8.32,47.60,11.50
-2.04,44.50,11.70
-20.90,32.30,18.20
-27.10,58.30,8.22
-19.60,59.50,8.96
-27.90,56.80,8.50
-46.30,51.90,5.29
-28.70,47.90,12.50
-57.00,58.30,3.71
-39.90,38.00,17.30
-42.80,39.90,16.70
-48.90,54.30,3.11
-41.40,14.50,24.50
-28.60,16.50,21.50
-29.30,9.80,24.40
-14.90,6.95,26.40
-26.70,3.88,27.10
-27.10,17.20,21.60
-8.71,2.21,29.30
-32.20,13.50,22.80
-53.20,43.20,7.25
-42.20,30.00,22.80
-57.10,31.70,26.90
-42.00,25.90,22.30
-34.90,13.20,23.40
-43.60,14.10,24.60
-51.80,30.00,21.10
-50.40,28.20,21.60
-48.20,33.60,19.50
-53.40,18.70,24.80
-50.20,25.30,23.00
-37.10,9.64,25.50
-32.60,35.20,18.30
-13.80,46.20,12.10
-30.90,1.77,26.60
-27.60,48.10,13.10
-35.30,59.30,5.38
-38.40,57.70,4.61
-38.00,58.30,4.41
-56.50,37.60,18.60
-59.00,36.90,18.50
-55.10,44.70,5.04
-50.20,42.40,6.38
-15.00,53.20,11.00
-18.50,56.90,9.74
-13.40,56.50,10.50
-20.90,47.60,12.90
-36.00,39.90,16.50
-42.70,40.70,16.80
-40.00,44.30,14.20
-56.30,44.10,6.35
-27.00,52.10,10.00
-26.60,52.00,10.10
-26.70,51.70,10.20
-27.20,51.50,10.10
-27.40,51.70,9.97
-27.00,52.00,10.30
-26.80,51.80,10.50
-26.80,51.70,10.90
-27.60,51.70,11.90
-28.10,51.50,11.00
-28.10,51.20,11.10
-27.60,51.00,10.90
-26.50,51.10,10.90
-26.90,51.20,11.50
-27.60,51.00,11.90
-27.80,51.00,13.30
-27.70,50.80,13.80
-27.70,50.90,14.00
-27.80,50.80,14.50
-27.70,51.00,15.00
-27.60,50.90,14.40
-27.30,50.30,14.90
-26.80,49.90,16.90
-26.00,49.70,16.00
-25.50,49.80,15.40
-25.10,49.90,15.50
-25.20,50.10,15.20
-25.40,50.10,15.50
-25.20,49.90,14.90
-25.30,49.70,14.00
-24.80,49.60,13.40
-24.10,49.80,12.80
-23.90,49.90,13.10
-24.40,50.10,12.80
-54.70,57.30,3.27
-54.50,57.00,3.24
-54.60,57.10,3.12
-54.80,56.80,3.18
-54.50,56.70,3.27
-53.30,57.10,3.37
-53.50,57.10,3.47
-51.70,57.20,3.45
-50.90,56.80,3.59
-49.90,56.50,3.81
-48.10,56.20,4.13
-48.40,56.50,4.21
-49.40,55.80,4.50
-51.10,55.90,5.39
-50.40,56.00,6.47
-50.00,55.90,7.05
-48.30,55.90,7.76
-48.20,56.00,7.99
-48.40,56.10,8.83
-48.20,55.90,9.31
-48.10,56.00,9.66
-48.40,56.10,9.95
-48.10,56.20,9.51
-48.00,56.40,8.54
-48.90,56.60,7.19
-48.80,56.20,6.76
-48.70,56.10,5.99
-48.00,55.70,5.41
-48.60,55.60,5.13
-48.80,55.90,5.03
-48.40,56.00,4.28
-48.60,56.10,3.92
-49.90,55.70,3.98
-50.20,55.50,3.30
-36.90,51.40,10.10
-36.30,51.10,9.40
-36.00,50.80,10.40
-35.80,50.00,10.40
-34.60,49.80,8.57
-34.50,50.10,9.28
-35.10,50.10,9.80
-36.00,49.80,10.50
-37.20,49.30,12.20
-37.60,49.80,11.20
-37.30,50.10,10.90
-36.40,50.30,10.10
-35.20,50.10,11.60
-34.60,49.60,11.60
-33.50,49.30,12.20
-32.40,49.80,12.50
-33.50,50.10,13.70
-34.00,50.50,13.30
-33.90,49.80,13.10
-33.00,49.20,15.20
-32.30,49.10,15.60
-32.20,49.30,17.10
-31.70,49.40,17.60
-30.90,49.30,18.10
-29.80,48.90,17.40
-29.30,49.30,15.50
-29.30,50.20,14.90
-29.80,51.00,15.00
-30.30,51.80,15.20
-29.20,52.10,13.20
-28.60,51.80,10.90
-28.50,51.50,11.40
-28.80,51.70,11.70
-48.20,45.30,1.12
-48.50,45.20,0.11
-48.80,43.90,1.37
-49.10,42.80,3.73
-49.40,42.60,1.97
-50.20,42.40,0.93
-51.90,41.50,9.47
-52.40,42.00,10.20
-52.30,41.50,11.60
-52.20,41.00,12.50
-51.30,40.90,21.10
-50.80,40.50,14.90
-51.30,41.50,12.00
-51.50,41.90,12.60
-51.20,42.10,12.40
-50.90,42.00,10.40
-50.50,41.90,12.50
-50.00,42.20,10.80
-50.60,42.60,7.95
-51.60,42.50,20.60
-51.40,42.30,22.00
-51.00,41.60,23.70
-50.10,40.90,25.30
-49.80,40.50,23.10
-50.80,39.60,23.50
-49.50,39.70,17.70
-48.90,39.60,17.90
-49.20,41.00,18.70
-48.40,41.50,21.70
-46.70,41.40,21.40
-46.80,41.40,20.30
-47.10,41.70,16.60
-48.00,41.80,13.90
-60.90,39.80,21.20
-58.10,40.10,18.60
-56.20,41.60,16.40
-55.60,42.00,16.30
-54.20,41.90,14.70
-54.60,42.10,19.40
-54.40,42.80,19.10
-54.60,43.00,16.70
-54.30,43.10,16.50
-54.20,43.20,18.50
-53.70,42.90,16.20
